#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
22142731|2019-04-28T04:25:43.340000|43.1273|12.6022|7.4|BULLETIN-INGV||||ML|2.6|--|4 km S Valfabbrica (PG)
22145531|2019-04-28T11:44:08.610000|46.4497|12.2297|7.5|BULLETIN-INGV||||ML|2.1|--|1 km NE Borca di Cadore (BL)
22148441|2019-04-28T17:12:34.000000|43.7267|13.3453|9.4|BULLETIN-INGV||||ML|2.0|--|Costa Marchigiana Anconetana (Ancona)
22149281|2019-04-28T22:33:19.070000|37.8065|14.8152|35.4|BULLETIN-INGV||||ML|2.0|--|3 km NW Bronte (CT)
22149341|2019-04-28T22:47:46.270000|37.8038|14.8372|34.5|BULLETIN-INGV||||ML|2.0|--|2 km N Bronte (CT)
22149571|2019-04-29T00:52:04.720000|37.7952|14.8233|29.6|BULLETIN-INGV||||ML|2.0|--|1 km NW Bronte (CT)
22149741|2019-04-29T01:36:01.640000|37.7938|14.8503|28.8|BULLETIN-INGV||||ML|2.5|--|2 km E Bronte (CT)
22149891|2019-04-29T02:01:42.130000|37.7968|14.8483|32.9|BULLETIN-INGV||||ML|2.0|--|2 km NE Bronte (CT)
22150301|2019-04-29T03:10:39.620000|45.864|11.4847|13.0|BULLETIN-INGV||||ML|2.7|--|1 km SE Roana (VI)
22151161|2019-04-29T06:55:42.520000|45.2323|13.0707|34.6|BULLETIN-INGV||||ML|2.1|--|Adriatico Settentrionale (MARE)
22151201|2019-04-29T07:10:36.150000|42.9623|13.1243|13.7|BULLETIN-INGV||||ML|2.2|--|2 km NW Ussita (MC)
22151381|2019-04-29T07:31:46.640000|36.126|15.4167|31.8|BULLETIN-INGV||||ML|2.4|--|Mar Ionio Meridionale (MARE)
22153441|2019-04-29T13:01:08.430000|37.7257|15.0673|9.4|BULLETIN-INGV||||ML|2.4|--|4 km W Milo (CT)
22153491|2019-04-29T13:01:35.370000|37.7318|15.0857|8.0|BULLETIN-INGV||||ML|2.2|--|3 km W Milo (CT)
22154111|2019-04-29T14:19:53.056000|10.8914|57.2241|0.8|SURVEY-INGV-A||||Mwp|6.2|--|Yemen [Sea]
22154611|2019-04-29T15:48:32.420000|44.3412|7.3578|10.6|BULLETIN-INGV||||ML|2.2|--|1 km W Valloriate (CN)
22156211|2019-04-29T23:15:53.670000|38.45|15.4008|115.7|BULLETIN-INGV||||ML|2.4|--|Tirreno Meridionale (MARE)
22156611|2019-04-30T01:24:47.480000|41.4272|15.7768|8.6|BULLETIN-INGV||||ML|2.8|--|10 km NE Carapelle (FG)
22157411|2019-04-30T06:10:10.260000|44.4592|10.9203|26.6|BULLETIN-INGV||||ML|2.0|--|4 km W Marano sul Panaro (MO)
22160021|2019-04-30T13:42:22.050000|41.8913|13.558|14.9|BULLETIN-INGV||||ML|3.1|--|2 km W Collelongo (AQ)
22162351|2019-04-30T18:51:48.210000|39.1018|15.7078|217.8|BULLETIN-INGV||||ML|2.8|--|Costa Calabra nord-occidentale (Cosenza)
22164401|2019-05-01T05:29:54.260000|42.9145|12.6198|9.9|BULLETIN-INGV||||ML|2.1|--|2 km SE Bevagna (PG)
22165811|2019-05-01T09:35:46.660000|43.0932|13.18|8.1|BULLETIN-INGV||||ML|2.1|--|6 km SW Caldarola (MC)
22167431|2019-05-01T13:52:15.520000|39.509|16.3098|8.9|BULLETIN-INGV||||ML|3.1|--|2 km E Bisignano (CS)
22167531|2019-05-01T13:55:43.230000|39.5297|16.3363|9.3|BULLETIN-INGV||||ML|2.5|--|2 km S Santa Sofia d'Epiro (CS)
22168521|2019-05-01T16:02:13.230000|38.1073|15.0228|7.9|BULLETIN-INGV||||ML|2.1|--|4 km SW Oliveri (ME)
22168741|2019-05-01T17:00:26.480000|42.27|13.9818|14.0|BULLETIN-INGV||||ML|2.6|--|2 km W Scafa (PE)
22169841|2019-05-01T21:31:33.830000|45.8097|11.1757|9.5|BULLETIN-INGV||||ML|2.1|--|5 km NE Vallarsa (TN)
22170281|2019-05-02T00:16:56.360000|38.9505|15.6423|180.9|BULLETIN-INGV||||ML|2.1|--|Tirreno Meridionale (MARE)
22177931|2019-05-02T21:01:36.120000|38.1222|15.1728|6.8|BULLETIN-INGV||||ML|3.2|--|1 km N Rodì Milici (ME)
22177991|2019-05-02T21:02:25.180000|38.1085|15.1652|5.1|BULLETIN-INGV||||ML|2.1|--|1 km SW Rodì Milici (ME)
22178701|2019-05-03T02:30:03.070000|43.2553|12.6192|7.9|BULLETIN-INGV||||ML|2.1|--|11 km N Valfabbrica (PG)
22180611|2019-05-03T07:25:31.841000|-6.91172|160.179|19.5|SURVEY-INGV-A||||Mwp|6.1|--|Solomon Is. [Sea]
22181701|2019-05-03T09:15:36.340000|41.8048|14.0397|15.4|BULLETIN-INGV||||ML|2.0|--|6 km SW Roccaraso (AQ)
22186491|2019-05-03T18:18:57.840000|37.9318|14.1002|7.1|BULLETIN-INGV||||ML|2.9|--|1 km E Castelbuono (PA)
22186851|2019-05-03T19:21:18.140000|37.9178|14.1038|7.7|BULLETIN-INGV||||ML|2.0|--|2 km SE Castelbuono (PA)
22187301|2019-05-03T21:25:04.840000|43.4118|13.0725|21.3|BULLETIN-INGV||||ML|2.2|--|4 km N Poggio San Vicino (MC)
22187731|2019-05-04T00:48:03.910000|43.1047|13.1022|10.6|BULLETIN-INGV||||ML|2.0|--|4 km SE Camerino (MC)
22188251|2019-05-04T04:41:46.810000|39.7213|15.5377|290.9|BULLETIN-INGV||||ML|3.1|--|Costa Calabra nord-occidentale (Cosenza)
22188901|2019-05-04T07:03:47.650000|38.4437|15.2398|168.1|BULLETIN-INGV||||ML|2.9|--|Tirreno Meridionale (MARE)
22189011|2019-05-04T07:31:02.050000|43.5872|13.811|4.6|BULLETIN-INGV||||ML|2.4|--|Costa Marchigiana Anconetana (Ancona)
22189621|2019-05-04T09:00:24.770000|37.3108|15.6933|20.0|BULLETIN-INGV||||ML|2.3|--|Mar Ionio Meridionale (MARE)
22189901|2019-05-04T10:15:09.090000|43.1062|13.1038|10.8|BULLETIN-INGV||||ML|2.0|--|4 km SE Camerino (MC)
22192161|2019-05-04T15:32:15.550000|38.3973|15.8603|79.2|BULLETIN-INGV||||ML|2.3|--|Costa Calabra sud-occidentale (Catanzaro, Vibo Valentia, Reggio di Calabria)
22194181|2019-05-05T01:39:25.440000|37.7072|15.0947|9.4|BULLETIN-INGV||||ML|2.6|--|2 km NW Zafferana Etnea (CT)
22195211|2019-05-05T07:11:17.380000|37.829|14.2103|5.4|BULLETIN-INGV||||ML|2.5|--|3 km N Gangi (PA)
22195301|2019-05-05T07:24:26.140000|37.0448|15.1312|21.3|BULLETIN-INGV||||ML|2.3|--|5 km SW Floridia (SR)
22196621|2019-05-05T10:08:47.910000|37.8413|14.2168|3.9|BULLETIN-INGV||||ML|2.4|--|5 km N Gangi (PA)
22198891|2019-05-05T13:18:57.040000|37.8288|14.214|6.6|BULLETIN-INGV||||ML|2.0|--|3 km N Gangi (PA)
22203801|2019-05-06T09:00:21.670000|43.1238|13.4773|28.3|BULLETIN-INGV||||ML|2.0|--|1 km W Monte Vidon Corrado (FM)
22204311|2019-05-06T11:28:12.170000|43.8542|12.0863|8.8|BULLETIN-INGV||||ML|2.2|--|9 km SW Sarsina (FC)
22206741|2019-05-06T20:07:41.620000|43.0462|13.1725|8.4|BULLETIN-INGV||||ML|2.2|--|2 km NE Fiastra (MC)
22206821|2019-05-06T21:19:37.085000|-6.93633|146.464|139.5|SURVEY-INGV-A||||Mwp|7.0|--|Papua New Guinea [Land]
22207601|2019-05-07T01:37:11.810000|39.5185|16.3208|6.1|BULLETIN-INGV||||ML|2.8|--|3 km E Bisignano (CS)
22207731|2019-05-07T02:40:50.390000|37.6798|15.9168|41.1|BULLETIN-INGV||||ML|2.9|--|Costa Calabra sud-orientale (Reggio di Calabria)
22208771|2019-05-07T08:09:22.230000|37.8202|14.2182|6.2|BULLETIN-INGV||||Mw|3.3|--|3 km NE Gangi (PA)
22208981|2019-05-07T08:33:33.950000|37.83|14.2237|6.2|BULLETIN-INGV||||ML|2.4|--|4 km NE Gangi (PA)
22209581|2019-05-07T10:05:40.030000|37.8288|14.2175|6.1|BULLETIN-INGV||||ML|2.3|--|3 km N Gangi (PA)
22209951|2019-05-07T10:57:40.990000|37.8118|14.2128|7.4|BULLETIN-INGV||||ML|2.4|--|2 km NE Gangi (PA)
22211121|2019-05-07T13:29:31.550000|37.8337|14.2232|4.5|BULLETIN-INGV||||ML|3.1|--|4 km NE Gangi (PA)
22213061|2019-05-07T20:09:15.080000|42.1333|13.5797|9.7|BULLETIN-INGV||||ML|2.4|--|5 km E Ovindoli (AQ)
22213911|2019-05-08T02:40:42.000000|37.8377|14.2177|3.8|BULLETIN-INGV||||ML|2.6|--|4 km N Gangi (PA)
22214031|2019-05-08T03:18:55.460000|37.8278|14.2183|8.0|BULLETIN-INGV||||ML|2.0|--|3 km NE Gangi (PA)
22214201|2019-05-08T04:30:03.910000|37.833|14.2132|6.4|BULLETIN-INGV||||ML|2.4|--|4 km N Gangi (PA)
22215721|2019-05-08T09:19:33.520000|37.8372|14.2073|6.4|BULLETIN-INGV||||ML|2.2|--|4 km N Gangi (PA)
22219501|2019-05-08T21:14:41.040000|42.7953|12.8533|8.3|BULLETIN-INGV||||ML|2.2|--|3 km N Vallo di Nera (PG)
22220341|2019-05-09T03:14:22.460000|45.9672|13.8522|14.1|BULLETIN-INGV||||ML|3.4|--|Confine Italia-Slovenia (SLOVENIA)
22220491|2019-05-09T03:30:28.660000|37.7098|14.9067|8.5|BULLETIN-INGV||||ML|2.1|--|8 km NE Biancavilla (CT)
22222191|2019-05-09T07:50:59.700000|43.226|12.5448|9.7|BULLETIN-INGV||||ML|2.0|--|9 km NW Valfabbrica (PG)
22223801|2019-05-09T10:46:03.600000|38.1965|15.1768|11.4|BULLETIN-INGV||||ML|2.1|--|Costa Siciliana nord-orientale (Messina)
22225541|2019-05-09T13:52:16.960000|46.0587|14.6582|9.3|BULLETIN-INGV||||ML|2.8|--|Slovenia (SLOVENIA)
22227021|2019-05-09T16:53:41.360000|38.3312|15.22|114.6|BULLETIN-INGV||||ML|2.1|--|Costa Siciliana nord-orientale (Messina)
22227791|2019-05-09T20:14:50.250000|38.3842|15.3902|120.8|BULLETIN-INGV||||ML|2.5|--|Costa Siciliana nord-orientale (Messina)
22228121|2019-05-09T22:43:21.849000|31.718|131.78|19.5|SURVEY-INGV-A||||Mwp|6.0|--|Kyushu, Japan [Sea: Japan]
22228381|2019-05-09T23:48:41.772000|31.7619|131.806|19.7|SURVEY-INGV-A||||Mwp|6.3|--|Kyushu, Japan [Sea: Japan]
22228611|2019-05-10T03:10:42.000000|43.0832|13.3443|21.6|BULLETIN-INGV||||ML|2.4|--|2 km N Gualdo (MC)
22228801|2019-05-10T03:23:32.505000|-28.9195|-176.253|0.8|SURVEY-INGV-A||||Mwp|6.1|--|New Zealand [Sea]
22229861|2019-05-10T08:18:37.540000|39.3158|16.0383|56.3|BULLETIN-INGV||||ML|2.4|--|Costa Calabra nord-occidentale (Cosenza)
22231101|2019-05-10T11:17:58.760000|42.9802|13.1137|9.0|BULLETIN-INGV||||ML|2.0|--|4 km NW Ussita (MC)
22231991|2019-05-10T13:32:34.900000|43.1893|11.0665|8.3|BULLETIN-INGV||||ML|2.1|--|4 km NW Chiusdino (SI)
22233071|2019-05-10T16:21:42.420000|37.7187|15.0948|9.6|BULLETIN-INGV||||ML|2.2|--|2 km W Milo (CT)
22234491|2019-05-11T00:10:47.480000|42.8528|13.3975|50.8|BULLETIN-INGV||||ML|2.2|--|5 km E Montegallo (AP)
22235341|2019-05-11T04:33:38.310000|44.3088|10.9513|29.7|BULLETIN-INGV||||ML|2.1|--|5 km N Montese (MO)
22236421|2019-05-11T08:18:38.700000|37.5168|14.8788|8.2|BULLETIN-INGV||||ML|2.8|--|7 km S Paternò (CT)
22242181|2019-05-11T19:19:23.600000|42.8248|13.0652|10.1|BULLETIN-INGV||||ML|2.1|--|4 km NW Norcia (PG)
22242231|2019-05-11T19:29:21.050000|38.5142|15.3978|191.8|BULLETIN-INGV||||ML|2.7|--|Tirreno Meridionale (MARE)
22246171|2019-05-12T12:24:05.910000|43.0148|13.1085|10.2|BULLETIN-INGV||||ML|2.0|--|3 km SE Fiordimonte (MC)
22246481|2019-05-12T12:47:41.470000|43.0178|13.1007|10.0|BULLETIN-INGV||||ML|2.1|--|2 km SE Fiordimonte (MC)
22247591|2019-05-12T15:26:20.260000|44.0727|7.2797|9.1|BULLETIN-INGV||||ML|2.2|--|Confine Italia-Francia (FRANCIA)
22247791|2019-05-12T15:50:14.740000|43.0157|13.1033|10.0|BULLETIN-INGV||||ML|2.2|--|3 km SE Fiordimonte (MC)
22248771|2019-05-12T19:24:51.706000|8.58516|-82.7508|19.5|SURVEY-INGV-A||||Mwp|6.0|--|Panama [Land]
22249921|2019-05-13T00:56:45.940000|38.3932|15.2148|161.6|BULLETIN-INGV||||ML|2.2|--|Costa Siciliana nord-orientale (Messina)
22250111|2019-05-13T02:42:11.630000|38.133|15.1735|8.8|BULLETIN-INGV||||ML|2.2|--|1 km SE Terme Vigliatore (ME)
22255251|2019-05-13T17:20:08.750000|43.0963|13.1907|7.2|BULLETIN-INGV||||ML|2.4|--|6 km SW Caldarola (MC)
22256561|2019-05-14T02:36:16.810000|43.4097|11.2948|7.1|BULLETIN-INGV||||ML|2.7|--|6 km E Monteriggioni (SI)
22258231|2019-05-14T08:10:26.980000|43.0363|5.6857|0.1|BULLETIN-INGV||||ML|2.6|--|Costa Francese (FRANCIA)
22258361|2019-05-14T08:31:54.420000|42.9558|13.1522|8.4|BULLETIN-INGV||||ML|2.0|--|2 km NE Ussita (MC)
22260061|2019-05-14T11:58:29.580000|37.7548|14.9987|0.3|BULLETIN-INGV||||ML|2.1|--|11 km W Milo (CT)
22260351|2019-05-14T12:29:40.590000|43.0983|13.1932|8.1|BULLETIN-INGV||||ML|2.0|--|5 km SW Caldarola (MC)
22260701|2019-05-14T12:58:27.887000|-4.09922|152.613|19.5|SURVEY-INGV-A||||Mwpd|7.4|--|Papua New Guinea [Sea]
22263521|2019-05-14T20:27:44.070000|42.805|13.1132|10.6|BULLETIN-INGV||||ML|2.4|--|2 km NE Norcia (PG)
22264261|2019-05-15T00:19:33.390000|43.4262|11.2993|6.4|BULLETIN-INGV||||ML|2.6|--|5 km S Castellina in Chianti (SI)
22264521|2019-05-15T02:09:53.960000|42.9087|13.1613|10.5|BULLETIN-INGV||||ML|3.1|--|2 km NE Castelsantangelo sul Nera (MC)
22265771|2019-05-15T06:45:19.140000|40.4453|16.4363|14.4|BULLETIN-INGV||||ML|2.0|--|6 km SW Ferrandina (MT)
22269451|2019-05-15T21:22:37.670000|39.541|15.6422|253.3|BULLETIN-INGV||||ML|2.9|--|Costa Calabra nord-occidentale (Cosenza)
22273361|2019-05-16T13:53:22.600000|44.3102|11.0463|21.7|BULLETIN-INGV||||ML|2.9|--|5 km NE Castel d'Aiano (BO)
22274561|2019-05-16T18:56:02.890000|37.7522|14.9622|9.0|BULLETIN-INGV||||ML|2.4|--|12 km E Bronte (CT)
22283991|2019-05-18T18:30:46.710000|43.3765|13.8613|7.8|BULLETIN-INGV||||ML|3.0|--|Costa Marchigiana Maceratese (Macerata)
22284151|2019-05-18T19:35:15.840000|43.0602|13.034|7.6|BULLETIN-INGV||||ML|2.9|--|2 km NW Pieve Torina (MC)
22284231|2019-05-18T19:39:08.660000|38.382|15.3922|113.5|BULLETIN-INGV||||ML|2.1|--|Costa Siciliana nord-orientale (Messina)
22284291|2019-05-18T20:01:59.970000|43.3518|12.7273|10.4|BULLETIN-INGV||||ML|2.0|--|1 km SE Costacciaro (PG)
22284331|2019-05-18T20:02:04.270000|38.3732|15.4252|120.4|BULLETIN-INGV||||ML|2.7|--|Costa Siciliana nord-orientale (Messina)
22284611|2019-05-18T21:11:18.000000|40.822|14.433|2.2|BULLETIN-OV||||Md|2.5|--|5 km SW Ottaviano (NA)
22284691|2019-05-18T23:28:03.170000|38.3547|14.8477|9.5|BULLETIN-INGV||||ML|2.2|--|Isole Eolie (Messina)
22285031|2019-05-19T01:23:28.949000|-21.6527|169.755|9.8|SURVEY-INGV-A||||Mwp|6.3|--|New Caledonia [Sea]
